date,filename,scan_hour,up_default_smooth,up_manual,delta,color_p_lo,color_p_hi,note,saved_at_utc
2025-04-16,ESS00320_0016_hemi_20250416-231030Z_0800_0400.csv,23,176.43,180.0,3.57,2,98,,2026-06-30T10:06:56+00:00
2025-04-17,ESS00320_0038_hemi_20250417-231030Z_0800_0400.csv,23,176.43,180.0,3.57,20,80,,2026-06-30T10:10:28+00:00
2025-04-18,ESS00320_0054_hemi_20250418-171029Z_0800_0400.csv,17,176.43,180.0,3.57,20,80,,2026-06-30T10:11:26+00:00
2025-04-19,ESS00320_0082_hemi_20250419-231030Z_0800_0400.csv,23,176.81,181.5,4.69,20,80,,2026-06-30T10:12:57+00:00
2025-04-20,ESS00320_0101_hemi_20250420-201030Z_0800_0400.csv,20,177.19,181.8,4.61,43,87,,2026-06-30T10:15:39+00:00
2025-04-21,ESS00320_0126_hemi_20250421-231030Z_0800_0400.csv,23,177.57,181.9,4.33,43,87,,2026-06-30T10:16:27+00:00
2025-04-22,ESS00320_0148_hemi_20250422-231031Z_0800_0400.csv,23,177.95,182.0,4.05,43,87,,2026-06-30T10:16:51+00:00
2025-04-23,ESS00320_0170_hemi_20250423-231032Z_0800_0400.csv,23,178.33,182.3,3.97,43,87,,2026-06-30T10:17:14+00:00
2025-04-24,ESS00320_0175_hemi_20250424-051028Z_0800_0400.csv,5,178.71,182.7,3.99,43,87,,2026-06-30T10:17:50+00:00
2025-04-25,ESS00320_0214_hemi_20250425-231030Z_0800_0400.csv,23,179.09,183.1,4.01,43,87,,2026-06-30T10:18:11+00:00
2025-04-26,ESS00320_0230_hemi_20250426-171027Z_0800_0400.csv,17,179.46,183.2,3.74,50,98,,2026-07-01T09:29:58+00:00
2025-04-26,ESS00320_0236_hemi_20250426-231031Z_0800_0400.csv,23,179.46,183.5,4.04,43,87,,2026-06-30T10:18:37+00:00
2025-04-27,ESS00320_0247_hemi_20250427-111030Z_0800_0400.csv,11,179.84,183.3,3.46,50,98,,2026-07-01T09:30:10+00:00
2025-04-27,ESS00320_0258_hemi_20250427-231031Z_0800_0400.csv,23,179.84,183.8,3.96,43,87,,2026-06-30T10:19:00+00:00
2025-04-28,ESS00320_0280_hemi_20250428-231030Z_0800_0400.csv,23,180.21,183.6,3.39,30,85,,2026-06-30T11:30:40+00:00
2025-04-29,ESS00320_0291_hemi_20250429-111031Z_0800_0400.csv,11,180.58,183.7,3.12,50,98,,2026-07-01T09:30:41+00:00
2025-04-29,ESS00320_0302_hemi_20250429-231030Z_0800_0400.csv,23,180.58,183.6,3.02,30,85,,2026-06-30T11:31:30+00:00
2025-04-30,ESS00320_0313_hemi_20250430-111033Z_0800_0400.csv,11,180.94,184.0,3.06,50,98,,2026-07-01T09:30:59+00:00
2025-04-30,ESS00320_0324_hemi_20250430-231030Z_0800_0400.csv,23,180.94,183.9,2.96,30,85,,2026-06-30T11:31:47+00:00
2025-05-01,ESS00320_0346_hemi_20250501-231030Z_0800_0400.csv,23,181.31,184.3,2.99,30,85,,2026-06-30T11:31:59+00:00
2025-05-02,ESS00320_0357_hemi_20250502-111031Z_0800_0400.csv,11,181.67,185.1,3.43,50,98,,2026-07-01T09:31:31+00:00
2025-05-02,ESS00320_0368_hemi_20250502-231030Z_0800_0400.csv,23,181.67,185.7,4.03,30,85,,2026-06-30T11:32:21+00:00
2025-05-03,ESS00320_0371_hemi_20250503-021031Z_0800_0400.csv,2,182.03,185.8,3.77,30,85,,2026-06-30T11:32:52+00:00
2025-05-03,ESS00320_0382_hemi_20250503-141031Z_0800_0400.csv,14,182.03,185.6,3.57,50,98,,2026-07-01T09:31:43+00:00
2025-05-04,ESS00320_0412_hemi_20250504-231031Z_0800_0400.csv,23,182.38,185.8,3.42,30,85,,2026-06-30T11:33:21+00:00
2025-05-05,ESS00320_0426_hemi_20250505-141030Z_0800_0400.csv,14,182.74,185.9,3.16,50,98,,2026-07-01T09:31:58+00:00
2025-05-05,ESS00320_0434_hemi_20250505-231029Z_0800_0400.csv,23,182.74,186.3,3.56,30,85,,2026-06-30T11:34:53+00:00
2025-05-06,ESS00320_0445_hemi_20250506-111031Z_0800_0400.csv,11,183.09,186.6,3.51,50,98,,2026-07-01T09:32:11+00:00
2025-05-06,ESS00320_0456_hemi_20250506-231030Z_0800_0400.csv,23,183.09,186.8,3.71,30,85,,2026-06-30T11:35:25+00:00
2025-05-07,ESS00320_0470_hemi_20250507-141030Z_0800_0400.csv,14,183.46,186.8,3.34,50,98,,2026-07-01T09:32:21+00:00
2025-05-07,ESS00320_0478_hemi_20250507-231030Z_0800_0400.csv,23,183.46,186.8,3.34,40,90,,2026-06-30T11:37:07+00:00
2025-05-08,ESS00320_0486_hemi_20250508-081030Z_0800_0400.csv,8,183.83,186.6,2.77,50,98,,2026-07-01T09:32:34+00:00
2025-05-08,ESS00320_0500_hemi_20250508-231032Z_0800_0400.csv,23,183.83,187.3,3.47,40,90,,2026-06-30T11:37:34+00:00
2025-05-09,ESS00320_0511_hemi_20250509-111031Z_0800_0400.csv,11,184.24,187.2,2.96,50,98,,2026-07-01T09:32:47+00:00
2025-05-09,ESS00320_0522_hemi_20250509-231030Z_0800_0400.csv,23,184.24,187.5,3.26,40,90,,2026-06-30T11:37:58+00:00
2025-05-10,ESS00320_0544_hemi_20250510-231031Z_0800_0400.csv,23,184.63,187.5,2.87,50,98,,2026-07-01T08:27:54+00:00
2025-05-11,ESS00320_0566_hemi_20250511-231031Z_0800_0400.csv,23,185.02,187.5,2.48,50,98,,2026-07-01T08:28:36+00:00
2025-05-12,ESS00320_0569_hemi_20250512-021030Z_0800_0400.csv,2,185.4,187.6,2.2,50,98,,2026-07-01T08:28:53+00:00
2025-05-13,ESS00320_0599_hemi_20250513-111030Z_0800_0400.csv,11,185.69,187.4,1.71,50,98,,2026-07-01T09:33:32+00:00
2025-05-13,ESS00320_0610_hemi_20250513-231030Z_0800_0400.csv,23,185.69,187.9,2.21,50,98,,2026-07-01T08:29:08+00:00
2025-05-14,ESS00320_0632_hemi_20250514-231031Z_0800_0400.csv,23,186.03,188.2,2.17,50,98,,2026-07-01T08:29:22+00:00
2025-05-15,ESS00320_0635_hemi_20250515-021030Z_0800_0400.csv,2,186.36,188.1,1.74,50,98,,2026-07-01T09:33:52+00:00
2025-05-15,ESS00320_0654_hemi_20250515-231030Z_0800_0400.csv,23,186.36,188.3,1.94,50,98,,2026-07-01T08:29:37+00:00
2025-05-16,ESS00320_0676_hemi_20250516-231031Z_0800_0400.csv,23,186.65,188.4,1.75,50,98,,2026-07-01T08:29:54+00:00
2025-05-17,ESS00320_0687_hemi_20250517-111031Z_0800_0400.csv,11,186.92,188.2,1.28,50,98,,2026-07-01T09:34:12+00:00
2025-05-17,ESS00320_0698_hemi_20250517-231031Z_0800_0400.csv,23,186.92,188.4,1.48,50,98,,2026-07-01T08:30:12+00:00
2025-05-18,ESS00320_0709_hemi_20250518-111031Z_0800_0400.csv,11,187.16,188.2,1.04,50,98,,2026-07-01T09:34:27+00:00
